id,epic,story,priority,estimate,acceptance_criteria
A1,Core Base & Economy,Construct and upgrade buildings,MVP,3-5sprints,"Build menu; server-validated state; timers; production change"
A2,Core Base & Economy,Collect resources and view storage caps,MVP,1-2sprints,"Production ticks visible; storage enforced; server reconciliation"
B1,Shipyard & Fleets,Build ships and send fleets,MVP,3sprints,"Ship build queue; mission dispatch; ETA; fleet persistence on server"
B2,Shipyard & Fleets,Mission rewards and ship loss reconciliation,MVP,1sprint,"Resource rewards delivered; ship counts updated server-side"
C1,PvE Missions & AI,Attack NPC fleets and receive rewards,MVP,2sprints,"Deterministic combat; reward distribution; mission replay available"
D1,PvP & Protection,Asynchronous PvP with protection window,MVP,2sprints,"Attack resolution; protection window enforced; replay stored"
E1,Account & Persistence,Account creation and cross-device restore,MVP,2sprints,"Secure login; server-side state restore; session persistence"
F1,Basic Monetization,Purchases for premium currency (IAP),MVP,2sprints,"Sandbox IAP success; server receipt validation; balance updated"
G1,Alliances & Chat,Create/join alliances and chat,High,3sprints,"Alliance creation/join; websocket chat; basic moderation"
H1,Events & Battle Pass,Participate in time-limited events,High,3sprints,"Event UI; objective tracking; reward delivery; leaderboards"
I1,Analytics & A/B,Retention & conversion dashboards,High,2sprints,"Telemetry to analytics; retention and IAP dashboards"
J1,Art & Audio,Satisfying audio/visual feedback,Medium,ongoing,"Animations, SFX, music transitions within performance budgets"
K1,Security & Anti-cheat,Detect and roll back suspicious transactions,Medium,2sprints,"Anomaly detection rules; admin dashboard; rollback pipeline"
L1,Scaling & SRE,Autoscale backend services,Medium,2sprints,"Autoscaling policies; load tests; SRE runbook"
M1,Localization & Accessibility,Translate UI strings (initial locales),Low,1-2sprints/locale,"String externalization; QA for key locales"
S1,Ship Templates,Add Scout ship template,MVP,1sprint,"Ship template added; visible in shipyard templates; buildCost and stats defined"
S2,Ship Templates,Add Fighter ship template,MVP,1sprint,"Ship template added; visible in shipyard templates; buildCost and stats defined"
S3,Ship Templates,Add Cruiser ship template,MVP,2sprints,"Ship template added; visible in shipyard templates; buildCost and stats defined; requires shipyard level"
S4,Ship Templates,Add Battleship ship template,High,3sprints,"High-tier template added; requires research and shipyard levels; buildTime and costs tuned"
S5,Ship Templates,Add Carrier ship template,High,3sprints,"Carrier template added with hangarSlots; carrier mechanics documented"
S6,Ship Templates,Add Transport ship template,MVP,1sprint,"Transport template added; used in trade missions and resource moves"
S7,Ship Templates,Balance ship stats and unlocks,High,2sprints,"Balance pass completed; playtest reports; adjust costs, HP, attack, defense, speed"
